procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 647404 111672 6404568    0    0     0     4 1062 1055 21  6 72  0  0
 4  0      0 637336 111672 6414280    0    0     0    88 1259 1168 21  8 71  0  0
 1  0      0 626000 111672 6424840    0    0     0     0 1023 1042 22  6 72  0  0
 2  0      0 612896 111672 6441784    0    0     0   204  990 1057 22  9 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 647908 111672 6416200    0    0     0 31076 1726 1350 30 11 58  2  0
 2  0      0 636856 111672 6426732    0    0     0     0  981 1017 21  6 72  0  0
 2  0      0 626152 111672 6436636    0    0  1666    88 1742 1997 21  7 71  0  0
 1  0      0 616348 111672 6446532    0    0     0     0 1218 1160 22  7 71  0  0
 1  0      0 606520 111672 6456704    0    0     0     0 1000 1028 22  6 72  0  0
 2  0      0 590644 111672 6476284    0    0     0   200 1133 1103 26  7 67  0  0
 1  0      0 610908 111672 6446548    0    0     0 31160 1631 1269 31 11 56  2  0
 2  0      0 592232 111672 6456648    0    0  1667    80 1905 2076 21  9 70  0  0
 1  0      0 583008 111672 6465964    0    0     0     4 1088 1091 21  7 72  0  0
 1  0      0 571724 111672 6476452    0    0     0     0 1277 1255 21  7 72  0  0
 1  0      0 560388 111672 6487096    0    0     0     4 1133 1083 22  6 72  0  0
 3  0      0 547284 111672 6502316    0    0     0   204 1187 1165 21  9 69  0  0
 7  0      0 532464 111672 6535872    0    0     0 31156 1899 1364 59 12 27  1  0
 7  0      0 376520 111672 6689956    0    0     0 25828 2109 1344 82 19  0  0  0
 2  2      0 235400 111672 6827248    0    0     0 198456 4750 2303 74 19  1  6  0
 4  0      0 548364 111672 6516964    0    0     0 125200 3486 2120 38 13 42  7  0
 2  0      0 497208 111672 6566496    0    0     0 66740 2065 1353 37 12 48  3  0
 2  0      0 438028 111672 6625140    0    0     0    16 1278 1124 39 13 48  0  0
 3  0      0 508496 111672 6552436    0    0     0 50948 2187 1698 42 11 45  2  0
 4  0      0 489360 111676 6563992    0    0     0 97120 2578 1586 49 14 30  7  0
 1  0      0 553636 111676 6491092    0    0     0 37740 1690 1273 33 11 53  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 541824 111676 6502316    0    0   808     8 1268 1209 20  8 71  0  0
 1  0      0 530736 111676 6513480    0    0     0    24 1073 1087 21  7 72  0  0
 1  0      0 519900 111676 6524068    0    0    56    96 1249 1205 21  7 71  0  0
 2  0      0 495744 111676 6554372    0    0     0     0 1191 1079 29  8 63  0  0
 1  0      0 544684 111676 6514440    0    0     0 31432 1637 1291 27  7 64  2  0
 1  0      0 533092 111680 6525336    0    0     0    28 1369 1339 22  7 71  0  0
 1  0      0 522772 111680 6535896    0    0   828     0 1158 1118 20  8 72  0  0
 1  0      0 511684 111680 6546832    0    0     0   108 1086 1097 21  6 73  0  0
 2  0      0 501352 111680 6557032    0    0     0     0 1177 1164 21  7 72  0  0
 3  0      0 464560 111680 6588528    0    0     0   212 1166 1062 30 10 60  0  0
 2  0      0 493592 111680 6545772    0    0     0 31044 1412 1245 25  8 65  2  0
 1  0      0 483296 111680 6556104    0    0     0     0 1209 1125 23  6 71  0  0
 1  0      0 473216 111680 6566248    0    0     0   104 1206 1166 23  6 71  0  0
 1  0      0 463388 111680 6575764    0    0     0     0 1121 1092 23  6 72  0  0
 1  0      0 453348 111680 6584972    0    0     0     0 1253 1211 22  7 71  0  0
 2  0      0 443524 111680 6600088    0    0     0   264 1117 1089 24  7 69  0  0
 7  0      0 446784 111680 6609864    0    0     0 31064 1661 1282 55 14 30  2  0
 8  0      0 329184 111680 6732880    0    0     0 26928 2059 1462 81 17  1  1  0
12  0      0 194868 111680 6863744    0    0     0 94092 2895 1591 81 16  0  2  0
 1  1      0 127856 111680 6936900    0    0     0 258388 5120 3589 57 18  7 17  0
 2  0      0 441992 111680 6624752    0    0     0     0 5942 1175 42 14 44  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 398684 111680 6668884    0    0     0 66148 1459 1330 38 11 47  5  0
 2  0      0 351824 111680 6713880    0    0     0     0 1278 1120 43 10 47  0  0
 3  0      0 418720 111680 6645224    0    0     0 50200 1565 1364 47 14 34  4  0
 2  0      0 413700 111680 6633752    0    0     0 31156 1649 1272 46 14 38  2  0
 1  0      0 458884 111680 6577684    0    0     0 81264 1541 1423 35 12 48  5  0
 1  0      0 446928 111680 6587848    0    0     0     0 1177 1151 21  8 72  0  0
 1  0      0 436344 111680 6598060    0    0     0     0 1030 1077 20  7 73  0  0
 1  0      0 425760 111680 6608176    0    0     0     0 1049 1103 20  7 73  0  0
 2  0      0 407872 111680 6624436    0    0     0   484 1383 1227 24  8 68  0  0
 1  0      0 438280 111680 6599016    0    0     0 31220 1530 1280 31  9 58  2  0
 1  0      0 425968 111680 6610824    0    0     0     8 1004 1023 20  7 73  0  0
