procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 641940 111328 6415056    0    0     0    20 1278 1120 43 10 47  0  0
 3  0      0 598444 111328 6457928    0    0   508 66124 2107 1370 39 11 47  4  0
 3  0      0 549592 111332 6507892    0    0   360 66180 1718 1542 40 11 46  3  0
 3  0      0 495916 111332 6560672    0    0     0   252 1306 1059 41 12 47  0  0
 4  1      0 429904 111336 6627580    0    0     0 72864 1559 1314 46 13 36  4  0
 2  0      0 694560 111352 6353420    0    0   976 34920 1533 1330 25  9 63  2  0
 2  0      0 682348 111352 6364356    0    0     0     4 1054 1052 23  5 72  0  0
 3  0      0 671512 111352 6374756    0    0   692     0 1032 1043 20  8 72  0  0
 2  0      0 660424 111352 6385336    0    0     0     0  967 1041 20  8 72  0  0
 3  0      0 650200 111352 6395764    0    0   216   272 1109 1080 22  6 71  1  0
 4  0      0 610760 111360 6426328    0    0     0 31320 1653 1240 34  9 56  2  0
 3  0      0 669364 111360 6387244    0    0     0    20 1026 1059 21  7 73  0  0
 4  0      0 659536 111360 6397380    0    0  1568     0 1038 1089 21  7 72  0  0
 2  0      0 648952 111360 6407572    0    0     0     0  973 1028 21  7 72  0  0
 4  0      0 638144 111360 6417832    0    0     0     8 1015 1030 21  7 72  0  0
 2  0      0 627816 111364 6428328    0    0     0   168 1050 1087 21  6 73  0  0
 6  0      0 618580 111364 6430304    0    0     0 31084 1823 1323 45 11 42  2  0
 7  0      0 506620 111364 6556920    0    0     0     0 1503 1093 83 17  0  0  0
 4  1      0 380872 111368 6680340    0    0     0 125572 2671 1662 76 19  2  4  0
 2  0      0 621736 111376 6436820    0    0     0 177140 3203 2273 52 17 23  7  0
 2  0      0 572916 111376 6487880    0    0     0   376 1550 1226 44  9 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 537056 111376 6529840    0    0     0 66232 1442 1305 38 11 48  4  0
 3  0      0 462348 111376 6603972    0    0     0   172 1285 1063 53 12 35  0  0
 1  0      0 639736 111384 6424232    0    0     0 88604 2286 1753 27  8 60  5  0
 1  0      0 628408 111384 6434852    0    0     0     0 1150 1106 20  8 72  0  0
 1  0      0 618328 111384 6444892    0    0     0     0 1086 1092 21  7 73  0  0
 1  0      0 606768 111384 6454952    0    0     0     0 1077 1089 22  5 72  0  0
 1  0      0 597716 111384 6464904    0    0     0   104 1253 1185 21  7 72  0  0
 2  0      0 564984 111384 6495816    0    0     0   212 1228 1102 29  9 62  0  0
 1  0      0 594940 111392 6454256    0    0   276 31076 1296 1231 27  7 64  2  0
 1  0      0 584608 111392 6464264    0    0     0   336 1060 1093 21  7 72  0  0
 1  0      0 573300 111392 6474304    0    0     0     4 1195 1136 21  7 71  0  0
 1  0      0 564500 111392 6483548    0    0   340    92 1089 1112 22  7 72  0  0
 1  0      0 553916 111392 6493624    0    0     0    32 1024 1076 21  6 72  0  0
 4  0      0 537536 111392 6516984    0    0   112   308 1141 1094 25  8 67  0  0
 1  0      0 564616 111396 6485340    0    0     0 31076 1327 1264 28  9 62  1  0
 1  0      0 553780 111396 6495688    0    0     0     0 1056 1109 20  8 72  0  0
 1  0      0 541460 111396 6506696    0    0     0     0 1042 1056 21  7 72  0  0
 1  0      0 522820 111396 6517132    0    0  1666    24 1928 2087 22  8 70  0  0
 1  0      0 511480 111396 6528012    0    0     0     4 1120 1104 22  6 72  0  0
 2  0      0 479732 111396 6560220    0    0     0   444 1223 1149 31  7 61  0  0
 5  0      0 484244 111400 6579452    0    0  1815 31160 1919 1735 70 14 14  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 360512 111400 6703308    0    0     0     0 1498 1099 84 16  0  0  0
 5  0      0 247364 111408 6816060    0    0     0 210100 4475 2690 67 20  1 11  1
 2  0      0 517476 111408 6540732    0    0     0 134508 2988 2042 58 16 18  8  0
 2  0      0 460656 111408 6600300    0    0     0   272 1385 1104 41 12 47  0  0
 2  0      0 406476 111412 6653804    0    0     0 66732 2298 1477 38 12 47  3  0
 3  0      0 488880 111416 6558224    0    0     0 67768 2157 1463 48 17 32  3  0
 2  0      0 435736 111420 6609476    0    0     0 66272 2269 1463 39 11 47  3  0
 2  0      0 503292 111424 6537536    0    0     0 21124 1477 1287 25 10 65  1  0
 1  0      0 492708 111424 6548432    0    0     0   104 1255 1302 21  6 73  0  0
 1  0      0 485652 111424 6559312    0    0     0     0 1015 1059 21  6 72  0  0
 2  0      0 464232 111424 6586120    0    0     0     0 1217 1180 27  7 65  0  0
 1  0      0 489672 111436 6552236    0    0     0 31128 1558 1255 26  9 63  2  0
 1  0      0 476080 111436 6563300    0    0     0     0 1102 1105 21  8 72  0  0
 1  0      0 464992 111436 6574516    0    0   868   328 1396 1231 22  6 71  1  0
 1  0      0 453904 111436 6585244    0    0   176     4 1095 1106 22  6 72  0  0
 1  0      0 443068 111436 6596372    0    0     0     0 1055 1044 21  7 72  0  0
 1  0      0 468072 111440 6577288    0    0   860 31252 1871 1438 34  9 55  2  0
 2  0      0 454468 111440 6589068    0    0  1028     4 1077 1041 21  7 72  0  0
 1  0      0 442400 111440 6600520    0    0     0    28 1177 1174 22  6 72  0  0
 1  0      0 430052 111440 6612056    0    0   768     0 1282 1190 21  7 71  0  0
 1  0      0 416444 111440 6623560    0    0   684    32 1235 1175 20  8 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 371840 111440 6660800    0    0   652   200 1286 1156 31  8 60  0  0
 7  0      0 347412 111444 6701668    0    0     0 31040 1897 1296 72 16 10  2  0
 9  0      0 221944 111444 6824880    0    0     0    16 1474 1055 83 16  1  0  0
 6  0      0 133744 111444 6915568    0    0   156 246684 4917 2745 66 17  4 13  0
 2  0      0 230804 111428 6835472    0    0     0 158360 4301 1892 65 18 14  2  0
 2  0      0 460004 111428 6596332    0    0   852     0 1787 1055 39 14 46  0  0
 2  0      0 412408 111428 6642140    0    0     0 66164 2071 1335 38 11 47  4  0
 3  0      0 422880 111428 6633588    0    0   124 16192 1811 1365 52 14 33  1  0
 2  0      0 443864 111428 6625788    0    0   720 97120 2561 1445 39 12 44  4  0
 2  0      0 382884 111428 6686068    0    0     0   100 1337 1126 42 10 48  0  0
 2  0      0 327220 111428 6739896    0    0   668 66100 2330 1511 40 10 47  3  0
 1  0      0 502208 111428 6565324    0    0     0 58080 2096 1463 31 12 54  3  0
 3  0      0 487624 111428 6578328    0    0     0     0 1099 1077 21  8 72  0  0
 1  0      0 499960 111428 6557336    0    0     0 31112 1656 1324 29 11 59  2  0
 1  0      0 487644 111428 6568836    0    0     0   528 1331 1175 22  6 72  0  0
 1  0      0 475076 111428 6580660    0    0     0    28 1126 1137 21  6 73  0  0
 1  0      0 463232 111428 6592408    0    0     0     0 1084 1062 20  7 73  0  0
 1  0      0 452396 111428 6603296    0    0     0     0 1095 1114 21  7 72  0  0
 1  0      0 460292 111428 6583792    0    0     0 31324 1772 1400 33 10 56  1  0
 1  0      0 455940 111428 6596440    0    0     0    84 1258 1212 21  7 72  0  0
 1  0      0 443120 111428 6607528    0    0     0    24 1204 1165 20  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 431276 111428 6618536    0    0     0     0 1165 1181 21  7 72  0  0
 1  0      0 418424 111428 6629680    0    0     0     0 1275 1204 21  7 72  0  0
 2  0      0 387428 111428 6660676    0    0   924   200 1323 1202 29  8 64  0  0
 5  0      0 378324 111428 6689732    0    0     0 31108 1829 1237 68 14 16  2  0
 4  1      0 251568 111428 6815544    0    0     0 32032 1834 1260 83 15  1  1  0
 5  0      0 140212 111428 6921188    0    0     0 70228 2250 1551 81 16  3  0  0
 2  0      0 131240 111416 6936416    0    0     0 226708 3294 2263 64 17  9  9  0
